"STATION","NAME","DATE","TMAX","TMIN"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-15","76","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-16","79","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-17","82","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-18","81","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-19","84","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-20","79","65"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-21","74","60"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-22","82","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-23","82","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-24","91","71"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-25","92","71"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-26","87","69"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-27","88","71"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-28","83","62"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-29","82","58"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-30","73","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-08-31","70","54"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-01","67","51"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-02","68","55"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-03","70","55"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-04","66","55"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-05","68","61"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-06","81","59"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-07","80","56"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-08","80","62"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-09","79","63"
"USW00014839","MILWAUKEE MITCHELL AIRPORT, WI US","1994-09-10","79","63"
