"TSF","species","height","low","high","scenario","Scenario","filter"
24,"Bene",7.98398820599878,7.50053348719588,8.44936106346462,"CPCRW_hare","Hare","All stands"
24,"Pigl",0.759140716184676,0.748563576929881,0.769652467824719,"CPCRW_hare","Hare","All stands"
24,"Pima",0.509167751982446,0.492630988543109,0.524591463641876,"CPCRW_hare","Hare","All stands"
24,"Potr",2.4892010862291,2.35300384652083,2.62928043268709,"CPCRW_hare","Hare","All stands"
25,"Bene",8.15312448557103,7.65447108766145,8.6507976504896,"CPCRW_hare","Hare","All stands"
25,"Pigl",0.809121287451438,0.798523992522899,0.820517629596641,"CPCRW_hare","Hare","All stands"
25,"Pima",0.531800712283467,0.514760927673416,0.550328685306861,"CPCRW_hare","Hare","All stands"
25,"Potr",2.4783680653263,2.3409943049343,2.62359883041059,"CPCRW_hare","Hare","All stands"
26,"Bene",8.30935006856397,7.81902515001332,8.81192423870239,"CPCRW_hare","Hare","All stands"
26,"Pigl",0.861229812520829,0.849582055686146,0.873234687058611,"CPCRW_hare","Hare","All stands"
26,"Pima",0.552174073392717,0.536353254257644,0.568404836524796,"CPCRW_hare","Hare","All stands"
26,"Potr",2.47495445224433,2.33883007864614,2.60796528914849,"CPCRW_hare","Hare","All stands"
27,"Bene",8.50014962701916,8.00009125385818,8.97680902081237,"CPCRW_hare","Hare","All stands"
27,"Pigl",0.914767365128711,0.902235602372456,0.927205815389577,"CPCRW_hare","Hare","All stands"
27,"Pima",0.576391443765021,0.561325052174899,0.591842212602081,"CPCRW_hare","Hare","All stands"
27,"Potr",2.52258651587586,2.37112282576597,2.68098312859772,"CPCRW_hare","Hare","All stands"
28,"Bene",8.75403870714882,8.23802084477422,9.24388970698804,"CPCRW_hare","Hare","All stands"
28,"Pigl",0.967911595713774,0.955082323576628,0.98133516895416,"CPCRW_hare","Hare","All stands"
28,"Pima",0.597658818624059,0.582301022404769,0.612694743519447,"CPCRW_hare","Hare","All stands"
28,"Potr",2.54813996435807,2.40002181756627,2.70027812732931,"CPCRW_hare","Hare","All stands"
29,"Bene",8.77334212223968,8.26733016835376,9.3120228295708,"CPCRW_hare","Hare","All stands"
29,"Pigl",1.02801906760769,1.01436312863223,1.04140801469103,"CPCRW_hare","Hare","All stands"
29,"Pima",0.622425528535195,0.606800068621126,0.637973199218924,"CPCRW_hare","Hare","All stands"
29,"Potr",2.56879204312664,2.41878362602156,2.71614574758679,"CPCRW_hare","Hare","All stands"
30,"Bene",8.97206102964129,8.47273887725614,9.50813380620514,"CPCRW_hare","Hare","All stands"
30,"Pigl",1.09158276875183,1.07816037236797,1.10459347966353,"CPCRW_hare","Hare","All stands"
30,"Pima",0.649793941646178,0.633589264536086,0.667260080812691,"CPCRW_hare","Hare","All stands"
30,"Potr",2.58684154845497,2.43446535861138,2.751553170186,"CPCRW_hare","Hare","All stands"
31,"Bene",9.85093847363762,9.04238956855002,10.6747164889938,"CPCRW_hare","Hare","All stands"
31,"Pigl",1.14861123624281,1.1338313670494,1.1626994029761,"CPCRW_hare","Hare","All stands"
31,"Pima",0.668020227289045,0.652479671615644,0.684121320115732,"CPCRW_hare","Hare","All stands"
31,"Potr",2.33746633440487,2.18602645004495,2.48117905503881,"CPCRW_hare","Hare","All stands"
32,"Bene",10.2007226552771,9.42550767858947,11.0612848176667,"CPCRW_hare","Hare","All stands"
32,"Pigl",1.22942477586359,1.21326668410089,1.24610546430725,"CPCRW_hare","Hare","All stands"
32,"Pima",0.732611835968637,0.714514696014482,0.749961382023084,"CPCRW_hare","Hare","All stands"
32,"Potr",2.52944355924346,2.35342467366046,2.71616446724557,"CPCRW_hare","Hare","All stands"
33,"Bene",10.3390044301189,9.56817993585777,11.2299057664343,"CPCRW_hare","Hare","All stands"
33,"Pigl",1.29236036937793,1.27638803856714,1.30874575030634,"CPCRW_hare","Hare","All stands"
33,"Pima",0.76402256377333,0.746783624874003,0.781266900627798,"CPCRW_hare","Hare","All stands"
33,"Potr",2.54968261911828,2.37045834297037,2.73892110572447,"CPCRW_hare","Hare","All stands"
34,"Bene",10.4667609872414,9.63645572920112,11.3241982699164,"CPCRW_hare","Hare","All stands"
34,"Pigl",1.34758012800473,1.33036665210046,1.36431781506419,"CPCRW_hare","Hare","All stands"
34,"Pima",0.796989052039135,0.778409373784251,0.814981794722803,"CPCRW_hare","Hare","All stands"
34,"Potr",2.52914316869598,2.36126886261779,2.71787329793348,"CPCRW_hare","Hare","All stands"
35,"Bene",10.3096196719089,9.31709173810738,11.3413855468278,"CPCRW_hare","Hare","All stands"
35,"Pigl",1.41735015070483,1.40052701099308,1.43497007639764,"CPCRW_hare","Hare","All stands"
35,"Pima",0.830835866856518,0.812871144439332,0.848394851953242,"CPCRW_hare","Hare","All stands"
35,"Potr",2.53704619557882,2.36330851794342,2.73944727102255,"CPCRW_hare","Hare","All stands"
36,"Bene",10.1443348814067,8.74815336414273,11.4258421160741,"CPCRW_hare","Hare","All stands"
36,"Pigl",1.48437026841375,1.46573751565633,1.50322913366655,"CPCRW_hare","Hare","All stands"
36,"Pima",0.856755241699522,0.840280559797723,0.874367704072306,"CPCRW_hare","Hare","All stands"
36,"Potr",2.41751266246011,2.24985661920377,2.58863585125333,"CPCRW_hare","Hare","All stands"
37,"Bene",10.2664976782462,8.91670743111569,11.5954445966466,"CPCRW_hare","Hare","All stands"
37,"Pigl",1.52494904769291,1.50489600415569,1.54446852002118,"CPCRW_hare","Hare","All stands"
37,"Pima",0.871260563384256,0.849261469781684,0.891521242776603,"CPCRW_hare","Hare","All stands"
37,"Potr",2.56436169279811,2.35561305995768,2.77690962681167,"CPCRW_hare","Hare","All stands"
38,"Bene",10.4354646152957,9.0685206927053,11.6769318973969,"CPCRW_hare","Hare","All stands"
38,"Pigl",1.58698501379476,1.5649365713419,1.60810101860572,"CPCRW_hare","Hare","All stands"
38,"Pima",0.906839967140029,0.886034743101879,0.928712342029211,"CPCRW_hare","Hare","All stands"
38,"Potr",2.55707435368545,2.34068471958603,2.77896176115327,"CPCRW_hare","Hare","All stands"
39,"Bene",10.565121320419,9.24215674209044,11.9009932592834,"CPCRW_hare","Hare","All stands"
39,"Pigl",1.64484994508372,1.62251620544338,1.66691002161358,"CPCRW_hare","Hare","All stands"
39,"Pima",0.943801918660992,0.923203462853045,0.965736069865805,"CPCRW_hare","Hare","All stands"
39,"Potr",2.5551800744164,2.35971707393287,2.77080809203486,"CPCRW_hare","Hare","All stands"
40,"Bene",10.7187857414471,9.40577378760059,12.0665327701755,"CPCRW_hare","Hare","All stands"
40,"Pigl",1.68675640322575,1.66513206725434,1.70783732005498,"CPCRW_hare","Hare","All stands"
40,"Pima",0.981713359034512,0.961938888485636,1.00237542783288,"CPCRW_hare","Hare","All stands"
40,"Potr",2.56093032831424,2.34380175040006,2.78620330454886,"CPCRW_hare","Hare","All stands"
41,"Bene",11.1525287004809,9.90985156347531,12.3889420511591,"CPCRW_hare","Hare","All stands"
41,"Pigl",1.72402750106303,1.70212922401129,1.74584482438009,"CPCRW_hare","Hare","All stands"
41,"Pima",1.02306284893521,1.00401802076053,1.0443446415874,"CPCRW_hare","Hare","All stands"
41,"Potr",2.62275415964417,2.41818569107348,2.84598327306179,"CPCRW_hare","Hare","All stands"
42,"Bene",10.9626108439167,9.68776501562459,12.3535169873179,"CPCRW_hare","Hare","All stands"
42,"Pigl",1.74267441443279,1.72020915904118,1.76609242567972,"CPCRW_hare","Hare","All stands"
42,"Pima",1.06766841505242,1.04598652892396,1.08775083491226,"CPCRW_hare","Hare","All stands"
42,"Potr",2.60871066098135,2.39698427239262,2.85193647666447,"CPCRW_hare","Hare","All stands"
43,"Bene",10.756070278539,9.2158734021267,12.1827035639316,"CPCRW_hare","Hare","All stands"
43,"Pigl",1.76094156457485,1.7379354919029,1.78736650336995,"CPCRW_hare","Hare","All stands"
43,"Pima",1.11428827606336,1.09275634049951,1.13577752800363,"CPCRW_hare","Hare","All stands"
43,"Potr",2.61439578974324,2.40505979910533,2.83556677423104,"CPCRW_hare","Hare","All stands"
44,"Bene",10.8769523372837,9.37037136193417,12.2791780954791,"CPCRW_hare","Hare","All stands"
44,"Pigl",1.77106166477952,1.74854166539144,1.79313660373717,"CPCRW_hare","Hare","All stands"
44,"Pima",1.1628779339177,1.14407794556579,1.18471401454834,"CPCRW_hare","Hare","All stands"
44,"Potr",2.63562973812689,2.41169390647529,2.86843910770168,"CPCRW_hare","Hare","All stands"
45,"Bene",11.1685801946584,9.66095437367369,12.6620596038762,"CPCRW_hare","Hare","All stands"
45,"Pigl",1.77776522473297,1.75349740691391,1.80175580930308,"CPCRW_hare","Hare","All stands"
45,"Pima",1.21065962845315,1.18884748990086,1.23322703947148,"CPCRW_hare","Hare","All stands"
45,"Potr",2.62594108775952,2.42202464247446,2.85368322847259,"CPCRW_hare","Hare","All stands"
46,"Bene",11.3885586065551,9.93716682000085,12.8818766216934,"CPCRW_hare","Hare","All stands"
46,"Pigl",1.7915143169007,1.76697497799715,1.8171784777763,"CPCRW_hare","Hare","All stands"
46,"Pima",1.24932244646294,1.22808422889951,1.27367828549045,"CPCRW_hare","Hare","All stands"
46,"Potr",2.6420474943178,2.41448804599165,2.86447677713807,"CPCRW_hare","Hare","All stands"
47,"Bene",11.8646815599934,10.4681113997866,13.2244837680647,"CPCRW_hare","Hare","All stands"
47,"Pigl",1.80295390557454,1.78091730240832,1.82769439343534,"CPCRW_hare","Hare","All stands"
47,"Pima",1.29286621967873,1.2710396034648,1.3159395496283,"CPCRW_hare","Hare","All stands"
47,"Potr",2.65150924638179,2.43209311142116,2.88391613900046,"CPCRW_hare","Hare","All stands"
48,"Bene",12.0206480661296,10.6866338180049,13.4469867312139,"CPCRW_hare","Hare","All stands"
48,"Pigl",1.82353514254759,1.7995465642086,1.84636649693128,"CPCRW_hare","Hare","All stands"
48,"Pima",1.33337901688379,1.30823288896508,1.35643895056841,"CPCRW_hare","Hare","All stands"
48,"Potr",2.60068761947684,2.38515309268062,2.84057446573582,"CPCRW_hare","Hare","All stands"
49,"Bene",12.1427749410752,10.7657744546301,13.5424968866571,"CPCRW_hare","Hare","All stands"
49,"Pigl",1.84040710658511,1.81647504735665,1.86580813902639,"CPCRW_hare","Hare","All stands"
49,"Pima",1.36766308784636,1.34565472590077,1.39060054809868,"CPCRW_hare","Hare","All stands"
49,"Potr",2.59814573704555,2.37082926331736,2.82793577165575,"CPCRW_hare","Hare","All stands"
50,"Bene",11.8596495753021,10.3192903906243,13.3886520848015,"CPCRW_hare","Hare","All stands"
50,"Pigl",1.84667096682787,1.8217852387218,1.87160417986249,"CPCRW_hare","Hare","All stands"
50,"Pima",1.40782936989122,1.38656663496769,1.43219676439195,"CPCRW_hare","Hare","All stands"
50,"Potr",2.56205701863808,2.35002595492073,2.79593995609171,"CPCRW_hare","Hare","All stands"
51,"Bene",11.9811053382854,10.4983974800614,13.453600667072,"CPCRW_hare","Hare","All stands"
51,"Pigl",1.8555898544538,1.8311384437576,1.88114889041662,"CPCRW_hare","Hare","All stands"
51,"Pima",1.43456951263858,1.4118966099211,1.45967156361701,"CPCRW_hare","Hare","All stands"
